Label,EmailText,EmailText_uk
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Їдь до точки Джуронг, божевільний ... Доступно лише в буфеті ""Великий світ""... Cine там отримав amore wat..."
ham,Ok lar... Joking wif u oni...,Гаразд... Жартую з тобою...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"Безкоштовний вхід у 2 щотижневих розіграшах за перемогу у фіналі Кубку Англії 21 травня 2005 року. Напишіть FA на номер 87121, щоб отримати питання для вступу (стандартний тариф) Умови участі 08452810075 для осіб старше 18 років"
ham,U dun say so early hor... U c already then say...,Не можна так рано про це говорити... Ти вже тоді скажи...
ham,"Nah I don't think he goes to usf, he lives around here though","Ні, я не думаю, що він ходить до УШФ, він живе неподалік."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ÃÂ¥ÃÂ£1.50 to rcv","FreeMsg Привіт, дорогенька, минуло вже 3 тижні, а від тебе ні слуху ні духу! Я хотів би трохи розважитися, ти все ще готовий до цього? Добре! XxX std chgs для відправки, £1.50 для rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,"Навіть мій брат не хоче зі мною розмовляти. Вони ставляться до мене, як до патенту на СНІД."
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Згідно з вашим запитом ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" встановлено як мелодію виклику для всіх абонентів. Натисніть *9, щоб скопіювати мелодію виклику ваших друзів"
spam,WINNER!! As a valued network customer you have been selected to receivea ÃÂ¥ÃÂ£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"ПЕРЕМОЖЕЦЬ!!! Як цінний клієнт мережі, ви були обрані для отримання призової винагороди у розмірі 900 фунтів стерлінгів! Щоб отримати приз, зателефонуйте за номером 09061701461. Код заявки KL341. Дійсний лише 12 годин."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Вашому мобільному телефону 11 місяців або більше? Ви маєте право на безкоштовне оновлення до найновіших кольорових мобільних телефонів з камерою! Телефонуйте до Mobile Update Co БЕЗКОШТОВНО на 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Я скоро повернуся додому, і я не хочу більше говорити про це сьогодні, добре? Я сьогодні вже достатньо наплакалася."
